,age,type_employer,education,education_num,marital,occupation,relationship,race,sex,capital_gain,capital_loss,hr_per_week,country,pred
0,45,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,20,United-States,-0.384707847039
1,17,Private,12th,8,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,-3.57875495591
2,24,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,-3.5758344397
3,46,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,4064,0,40,United-States,-0.252176605692
4,59,Private,Bachelors,13,Separated,Adm-clerical,Unmarried,White,Male,0,0,60,United-States,-0.768714561607
5,54,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,-0.614534347781
6,56,Private,HS-grad,9,Divorced,Other-service,Unmarried,Black,Female,0,0,40,Jamaica,-3.66322993311
7,27,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1651,40,United-States,-1.69315859745
8,32,Federal-gov,Assoc-voc,11,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,Male,0,0,40,United-States,-1.98428189727
9,33,Private,1st-4th,2,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,2603,32,Mexico,-3.11930681316
10,38,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,56,United-States,-1.37335789294
11,57,Self-emp-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,5178,0,60,Hungary,-0.464680216768
12,25,Private,11th,7,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,-4.5158703595
13,46,Private,5th-6th,3,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,45,Italy,-1.06351460231
14,61,Self-emp-inc,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,55,United-States,-1.35894857608
15,50,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,38,United-States,-1.53490564057
16,51,State-gov,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,Male,0,2444,39,United-States,-1.76727195779
17,30,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,30,United-States,-2.33312757544
18,52,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,14,United-States,-0.672603630414
19,66,Private,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States,-3.45487251735
20,38,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,80,United-States,2.36894523878
21,61,Private,9th,5,Divorced,Sales,Not-in-family,White,Male,0,0,25,United-States,-4.33533944304
22,23,Private,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,0,0,66,Ecuador,-7.56455316786
23,35,Private,Assoc-acdm,12,Married-spouse-absent,Sales,Own-child,Black,Female,0,0,36,United-States,-2.25813130991
24,53,Self-emp-not-inc,Prof-school,15,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,27828,0,40,Philippines,0.447786934535
25,61,Private,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,20,Trinadad&Tobago,-3.75787425122
26,52,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,-0.632026424735
27,31,Private,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,0,0,20,United-States,-5.02213692336
28,41,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,70,United-States,1.11728759077
29,61,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0.0477701448559
30,36,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,-0.986024223846
31,23,?,Some-college,10,Never-married,?,Not-in-family,White,Female,0,0,35,United-States,-5.754229079
32,58,Local-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1.22770956011
33,33,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,0.288925459903
